iter	RMSE
0	24.95946974
1	23.06087682
2	21.43692161
3	20.05883682
4	18.8926812
5	17.90973624
6	17.07826911
7	16.38933776
8	15.81705659
9	15.34911707
10	14.96928772
11	14.66244131
12	14.40679856
13	14.19887825
14	14.0272677
15	13.88884739
16	13.77949226
17	13.69153724
18	13.61909493
19	13.55991181
20	13.5134022
21	13.47502979
22	13.44423862
23	13.41883993
24	13.39779778
25	13.38038943
26	13.36582651
27	13.35380404
28	13.34429488
29	13.33555781
30	13.32907725
31	13.32344364
32	13.31894279
33	13.31517047
34	13.31194412
35	13.30885245
36	13.30604581
37	13.30399922
38	13.30206391
39	13.30036332
40	13.29892529
41	13.29758958
42	13.29585138
43	13.29469035
44	13.29363576
45	13.29277441
46	13.2920604
47	13.28995835
48	13.28904168
49	13.28806127
50	13.28718644
51	13.28664334
52	13.28577278
53	13.28508326
54	13.28409682
55	13.28314139
56	13.28275196
57	13.28246925
58	13.28170812
59	13.28102872
60	13.28053395
61	13.27990924
62	13.27966318
63	13.27906388
64	13.27864843
65	13.27837532
66	13.27784431
67	13.27739416
68	13.27692964
69	13.27675733
70	13.2764158
71	13.27555933
72	13.27488678
73	13.27443145
74	13.27391269
75	13.27335798
76	13.2729075
77	13.27239947
78	13.27202328
79	13.27149416
80	13.27137144
81	13.27093601
82	13.27055297
83	13.27039628
84	13.27005729
85	13.26967421
86	13.26906833
87	13.26899769
88	13.26870726
89	13.26839684
90	13.26813254
91	13.26775853
92	13.26736564
93	13.26713052
94	13.26694397
95	13.26658878
96	13.26618182
97	13.26577442
98	13.26538514
99	13.26523484
100	13.26497374
101	13.26474197
102	13.2645566
103	13.26435705
104	13.26408694
105	13.26389669
106	13.26372096
107	13.26349845
108	13.26319532
109	13.26296243
110	13.26255801
111	13.26227237
112	13.26196313
113	13.26166465
114	13.26132452
115	13.26113939
116	13.26078749
117	13.26029147
118	13.25990366
119	13.25966282
120	13.25940243
121	13.25902936
122	13.25883247
123	13.25861301
124	13.25821295
125	13.2580089
126	13.25775723
127	13.25744412
128	13.2572614
129	13.25709153
130	13.25667282
131	13.25647408
132	13.25611768
133	13.25573338
134	13.2554509
135	13.25514213
136	13.25485189
137	13.25458202
138	13.25442096
139	13.25427962
140	13.25403241
141	13.25373302
142	13.25343294
143	13.25320299
144	13.25299722
145	13.25276958
146	13.25250854
147	13.25216941
148	13.25195862
149	13.25170657
150	13.25159897
151	13.25131569
152	13.25120799
153	13.25091449
154	13.2506681
155	13.25041799
156	13.25017888
157	13.24982744
158	13.24961864
159	13.24952573
160	13.24930042
161	13.2491075
162	13.24899873
163	13.24858875
164	13.24845912
165	13.24812521
166	13.24788815
167	13.2476975
168	13.24753882
169	13.24725278
170	13.24709881
171	13.24686213
172	13.24654859
173	13.24631326
174	13.24624701
175	13.24592437
176	13.245626
177	13.24541194
178	13.245214
179	13.24506877
180	13.24470565
181	13.24442882
182	13.24423642
183	13.24405326
184	13.24401684
185	13.24384065
186	13.24361192
187	13.24336525
188	13.24321378
189	13.24304313
190	13.24278933
191	13.24263498
192	13.24242533
193	13.24235878
194	13.24210349
195	13.24196335
196	13.2417269
197	13.24145128
198	13.24124052
199	13.24112443
200	13.24103793
201	13.24081777
202	13.2406094
203	13.24032724
204	13.24016053
205	13.23993003
206	13.23974069
207	13.23950847
208	13.23935012
209	13.23916842
210	13.23903691
211	13.2387971
212	13.23854593
213	13.23838757
214	13.23817543
215	13.23798357
216	13.23783042
217	13.23771547
218	13.23763943
219	13.23742868
